,cell,lon,lat,month,decend,sum,geometry
221,45,-50.375,-10.375,10,3,67.19410843319363,POINT (-5607719.348711156 -1161303.54632974)
222,49,-53.125,-10.625,9,1,14.674678166707357,POINT (-5913847.948392658 -1189607.393152863)
223,49,-53.125,-10.625,9,2,27.283299949434067,POINT (-5913847.948392658 -1189607.393152863)
224,49,-53.125,-10.625,9,3,37.82096391254001,POINT (-5913847.948392658 -1189607.393152863)
225,49,-53.125,-10.625,10,1,49.031451331244575,POINT (-5913847.948392658 -1189607.393152863)
226,49,-53.125,-10.625,10,2,57.68378618028429,POINT (-5913847.948392658 -1189607.393152863)
227,49,-53.125,-10.625,10,3,75.60690053304036,POINT (-5913847.948392658 -1189607.393152863)
228,50,-52.875,-10.625,9,1,14.602449735005697,POINT (-5886018.07569434 -1189607.393152863)
229,50,-52.875,-10.625,9,2,27.792740371492172,POINT (-5886018.07569434 -1189607.393152863)
230,50,-52.875,-10.625,9,3,37.13036855061849,POINT (-5886018.07569434 -1189607.393152863)
231,50,-52.875,-10.625,10,1,48.57649824354384,POINT (-5886018.07569434 -1189607.393152863)
232,50,-52.875,-10.625,10,2,55.47746647728814,POINT (-5886018.07569434 -1189607.393152863)
233,50,-52.875,-10.625,10,3,76.6608420477973,POINT (-5886018.07569434 -1189607.393152863)
234,51,-58.375,-7.625,9,1,27.23192522260878,POINT (-6498275.275057344 -851327.767228178)
235,51,-58.375,-7.625,9,2,31.99784501393636,POINT (-6498275.275057344 -851327.767228178)
236,51,-58.375,-7.625,9,3,45.73079832394918,POINT (-6498275.275057344 -851327.767228178)
237,51,-58.375,-7.625,10,1,49.725908782747055,POINT (-6498275.275057344 -851327.767228178)
238,51,-58.375,-7.625,10,2,55.95927098062303,POINT (-6498275.275057344 -851327.767228178)
239,51,-58.375,-7.625,10,3,66.5913430319892,POINT (-6498275.275057344 -851327.767228178)
240,51,-52.625,-10.625,9,1,14.653952333662245,POINT (-5858188.202996022 -1189607.393152863)
241,51,-52.625,-10.625,9,2,27.7045832739936,POINT (-5858188.202996022 -1189607.393152863)
242,51,-52.625,-10.625,9,3,37.53980043199327,POINT (-5858188.202996022 -1189607.393152863)
243,51,-52.625,-10.625,10,1,47.70842117733426,POINT (-5858188.202996022 -1189607.393152863)
244,51,-52.625,-10.625,10,2,54.259941313001846,POINT (-5858188.202996022 -1189607.393152863)
245,51,-52.625,-10.625,10,3,80.4655064476861,POINT (-5858188.202996022 -1189607.393152863)
246,52,-58.125,-7.625,9,1,26.779618369208443,POINT (-6470445.402359026 -851327.767228178)
247,52,-58.125,-7.625,9,2,30.89832009209527,POINT (-6470445.402359026 -851327.767228178)
248,52,-58.125,-7.625,9,3,44.8777101304796,POINT (-6470445.402359026 -851327.767228178)
249,52,-58.125,-7.625,10,1,48.81821314493815,POINT (-6470445.402359026 -851327.767228178)
250,52,-58.125,-7.625,10,2,55.11396196153429,POINT (-6470445.402359026 -851327.767228178)
251,52,-58.125,-7.625,10,3,66.36481698354085,POINT (-6470445.402359026 -851327.767228178)
252,52,-52.375,-10.625,9,1,13.59445317586263,POINT (-5830358.330297703 -1189607.393152863)
253,52,-52.375,-10.625,9,2,25.814649369981552,POINT (-5830358.330297703 -1189607.393152863)
254,52,-52.375,-10.625,9,3,35.47863875495063,POINT (-5830358.330297703 -1189607.393152863)
255,52,-52.375,-10.625,10,1,46.83935207790799,POINT (-5830358.330297703 -1189607.393152863)
256,52,-52.375,-10.625,10,2,54.880653593275284,POINT (-5830358.330297703 -1189607.393152863)
257,52,-52.375,-10.625,10,3,79.68150605095758,POINT (-5830358.330297703 -1189607.393152863)
258,53,-57.875,-7.625,9,1,25.54293203353882,POINT (-6442615.529660708 -851327.767228178)
259,53,-57.875,-7.625,9,2,30.959697723388672,POINT (-6442615.529660708 -851327.767228178)
260,53,-57.875,-7.625,9,3,44.96181064181857,POINT (-6442615.529660708 -851327.767228178)
261,53,-57.875,-7.625,10,1,49.386227713690865,POINT (-6442615.529660708 -851327.767228178)
262,53,-57.875,-7.625,10,2,54.95027335484823,POINT (-6442615.529660708 -851327.767228178)
263,53,-57.875,-7.625,10,3,67.96429390377469,POINT (-6442615.529660708 -851327.767228178)
264,53,-52.125,-10.625,9,1,13.333496305677626,POINT (-5802528.457599385 -1189607.393152863)
265,53,-52.125,-10.625,9,2,23.44655047522651,POINT (-5802528.457599385 -1189607.393152863)
266,53,-52.125,-10.625,9,3,34.46138784620497,POINT (-5802528.457599385 -1189607.393152863)
267,53,-52.125,-10.625,10,1,44.99151637819078,POINT (-5802528.457599385 -1189607.393152863)
268,53,-52.125,-10.625,10,2,53.70578331417508,POINT (-5802528.457599385 -1189607.393152863)
269,53,-52.125,-10.625,10,3,78.36926651000977,POINT (-5802528.457599385 -1189607.393152863)
270,54,-51.875,-10.625,9,1,12.497615178426107,POINT (-5774698.584901066 -1189607.393152863)
271,54,-51.875,-10.625,9,2,20.586846563551163,POINT (-5774698.584901066 -1189607.393152863)
272,54,-51.875,-10.625,9,3,32.86815929412842,POINT (-5774698.584901066 -1189607.393152863)
273,54,-51.875,-10.625,10,1,44.2411560482449,POINT (-5774698.584901066 -1189607.393152863)
274,54,-51.875,-10.625,10,2,52.13738801744249,POINT (-5774698.584901066 -1189607.393152863)
275,54,-51.875,-10.625,10,3,78.05660883585612,POINT (-5774698.584901066 -1189607.393152863)
